,race_id,season,race_number,date,site,cars,winner,start,make/model,len,sfc,miles,purse,pole,cautions,caution_laps,speed,lc,href
68,68,2003,33,2003-10-27,Atlanta,43,Jeff Gordon,19,Chevrolet,1.54,P,501,4102276.0,194.295,10,63,127.769,28,https://www.racing-reference.info/race-results/2003_Bass_Pro_Shops_MBNA_500_%28October%29/W
69,69,2003,34,2003-11-02,Phoenix,43,"Dale Earnhardt, Jr.",11,Chevrolet,1.0,P,312,3515336.0,133.675,10,66,93.984,10,https://www.racing-reference.info/race-results/2003_Checker_Auto_Parts_500_Presented_by_Havoline/W
70,70,2003,35,2003-11-09,Rockingham,43,Bill Elliott,5,Dodge,1.017,P,400,3284855.0,155.577,10,65,111.677,14,https://www.racing-reference.info/race-results/2003_Pop-Secret_Microwave_Popcorn_400/W
71,71,2003,36,2003-11-16,Homestead,43,Bobby Labonte,2,Chevrolet,1.5,P,401,3674430.0,181.111,10,60,116.868,21,https://www.racing-reference.info/race-results/2003_Ford_400/W
72,72,2004,1,2004-02-15,Daytona,43,"Dale Earnhardt, Jr.",3,Chevrolet,2.5,P,500,13658808.0,188.387,4,23,156.345,26,https://www.racing-reference.info/race-results/2004_Daytona_500/W
73,73,2004,2,2004-02-22,Rockingham,43,Matt Kenseth,23,Ford,1.017,P,400,3646146.0,156.475,7,58,112.016,15,https://www.racing-reference.info/race-results/2004_Subway_400/W
74,74,2004,3,2004-03-07,Las Vegas,43,Matt Kenseth,25,Ford,1.5,P,401,4781933.0,174.904,6,37,128.79,18,https://www.racing-reference.info/race-results/2004_UAW-Daimler_Chrysler_400/W
75,75,2004,4,2004-03-14,Atlanta,43,"Dale Earnhardt, Jr.",7,Chevrolet,1.54,P,501,3629061.0,193.575,3,17,158.679,16,https://www.racing-reference.info/race-results/2004_Golden_Corral_500/W
76,76,2004,5,2004-03-21,Darlington,43,Jimmie Johnson,11,Chevrolet,1.366,P,400,3479589.0,171.716,9,58,114.001,22,https://www.racing-reference.info/race-results/2004_Carolina_Dodge_Dealers_400/W
77,77,2004,6,2004-03-28,Bristol,43,Kurt Busch,13,Ford,0.533,P,267,4108366.0,128.314,11,85,82.607,13,https://www.racing-reference.info/race-results/2004_Food_City_500/W
78,78,2004,7,2004-04-04,Fort Worth,43,Elliott Sadler,19,Ford,1.5,P,501,5318445.0,193.903,7,45,138.845,24,https://www.racing-reference.info/race-results/2004_Samsung_Radio_Shack_500/W
79,79,2004,8,2004-04-18,Martinsville,43,Rusty Wallace,17,Dodge,0.526,P,263,3637416.0,93.502,11,106,68.169,10,https://www.racing-reference.info/race-results/2004_Advance_Auto_Parts_500/W
80,80,2004,9,2004-04-25,Talladega,43,Jeff Gordon,11,Chevrolet,2.66,P,500,4463786.0,191.18,11,55,129.396,54,https://www.racing-reference.info/race-results/2004_Aaron%27s_499/W
81,81,2004,10,2004-05-02,Fontana,43,Jeff Gordon,16,Chevrolet,2.0,P,500,4516016.0,186.94,6,39,137.268,23,https://www.racing-reference.info/race-results/2004_Auto_Club_500/W
