,date,tavg,tmin,tmax,prcp,snow,wspd,pres,site
164,2008-05-03,21.9,15.6,28.9,0.0,0.0,20.5,1014.0,Richmond
165,2008-05-10,25.1,19.0,32.0,0.0,0.0,13.7,1006.9,Darlington
166,2008-05-25,19.7,11.1,26.7,0.0,0.0,7.6,1019.0,Charlotte
167,2008-06-15,21.7,17.2,27.2,0.0,0.0,12.8,1011.0,Michigan
168,2008-06-22,16.9,9.4,25.6,0.0,0.0,10.2,1015.5,Sonoma
169,2008-06-29,23.9,20.6,28.9,2.5,0.0,20.9,1013.6,Loudon
170,2008-07-05,26.3,21.1,31.1,0.0,0.0,6.1,1018.8,Daytona
171,2008-07-12,23.7,18.9,28.3,15.0,0.0,17.8,1012.0,Chicago
172,2008-07-27,23.3,16.7,28.3,0.0,0.0,5.4,1012.9,Indianapolis
173,2008-08-10,18.3,13.9,25.0,10.8,0.0,6.3,1016.5604819277108,Watkins Glen
174,2008-08-17,21.9,15.6,28.9,0.0,0.0,11.8,1016.1,Michigan
175,2008-08-23,23.4,16.7,30.6,0.0,0.0,7.6,1020.6,Bristol
176,2008-08-31,24.7,19.4,31.7,0.0,0.0,9.8,1005.5,Fontana
177,2008-09-07,23.7,18.3,30.0,0.0,0.0,4.7,1017.0,Richmond
178,2008-09-14,25.7,21.1,31.1,6.9,0.0,22.0,1011.1,Loudon
179,2008-09-28,23.6,17.8,29.4,0.0,0.0,6.3,1018.3,Kansas
180,2008-10-11,20.0,16.1,25.0,0.0,0.0,20.9,1024.6,Charlotte
181,2008-10-19,7.8,2.0,15.0,0.0,0.0,4.9,1016.5604819277108,Martinsville
182,2008-10-26,12.7,6.7,21.7,0.0,0.0,6.0,1017.9,Atlanta
183,2008-11-02,20.8,13.3,29.4,0.0,0.0,13.3,1019.7,Fort Worth
184,2008-11-09,17.2,11.7,25.6,0.0,0.0,18.0,1004.5,Phoenix
185,2008-11-16,18.4,13.2,23.2,0.0,0.0,20.6,1018.5,Homestead
186,2009-02-15,17.9,15.6,20.0,1.0,0.0,7.9,1016.5604819277108,Daytona
187,2009-02-22,14.9,12.2,17.2,0.0,0.0,1.0,1018.4,Fontana
188,2009-03-01,14.1,6.7,21.7,0.0,0.0,5.6,1019.7,Las Vegas
189,2009-03-08,,10.0,23.3,0.0,0.0,14.0,1016.5604819277108,Atlanta
190,2009-03-22,8.2,-2.2,18.9,0.0,0.0,2.9,1028.0,Bristol
191,2009-04-05,13.2,6.7,21.1,0.0,0.0,32.0,1016.1,Fort Worth
192,2009-04-18,21.6,12.8,28.9,0.0,0.0,9.0,1014.5,Phoenix
193,2009-05-02,21.4,16.7,27.2,1.5,0.0,12.2,1016.5604819277108,Richmond
194,2009-05-09,26.2,21.0,32.0,0.0,0.0,20.2,1012.9,Darlington
195,2009-05-25,21.8,20.0,26.7,33.8,0.0,9.7,1014.9,Charlotte
196,2009-06-14,18.7,12.2,25.0,0.0,0.0,1.2,1016.5,Michigan
197,2009-06-21,18.4,11.7,26.1,0.0,0.0,13.7,1009.9,Sonoma
198,2009-06-28,26.2,21.7,32.8,0.3,0.0,6.8,1008.5,Loudon
199,2009-07-04,27.8,24.4,33.3,0.0,0.0,7.6,1016.5604819277108,Daytona
200,2009-07-11,25.0,20.6,29.4,14.0,0.0,12.4,1016.5604819277108,Chicago
201,2009-07-26,21.8,16.7,27.2,0.0,0.0,15.5,1011.0,Indianapolis
202,2009-08-10,24.3,20.0,31.7,0.0,0.0,10.0,1012.5,Watkins Glen
203,2009-08-16,25.7,19.4,31.7,0.0,0.0,11.5,1018.2,Michigan
204,2009-08-22,22.5,18.3,27.8,3.8,0.0,5.4,1016.5604819277108,Bristol
205,2009-09-06,23.8,19.4,29.4,0.0,0.0,2.6,1019.9,Atlanta
206,2009-09-12,19.9,13.9,25.6,0.0,0.0,6.8,1015.9,Richmond
207,2009-09-20,21.4,20.6,22.8,15.0,0.0,5.8,1018.9,Loudon
208,2009-10-04,12.2,7.2,17.8,0.0,0.0,7.1,1017.7,Kansas
209,2009-10-11,16.2,12.8,21.1,0.0,0.0,6.2,1009.8,Fontana
210,2009-10-17,10.1,6.1,11.7,2.3,0.0,13.0,1015.3,Charlotte
211,2009-10-25,12.2,7.0,18.0,0.0,0.0,7.4,1016.5604819277108,Martinsville
212,2009-11-08,18.2,14.4,22.8,0.0,0.0,11.2,1017.3,Fort Worth
213,2009-11-15,14.7,9.4,20.6,0.0,0.0,6.1,1018.5,Phoenix
214,2009-11-22,24.5,20.9,28.3,0.0,0.0,5.8,1016.1,Homestead
215,2010-02-14,6.7,0.6,12.8,0.0,0.0,6.1,1019.2,Daytona
216,2010-02-21,12.5,10.0,16.7,0.0,0.0,11.3,1014.3,Fontana
217,2010-02-28,12.7,7.2,18.3,0.3,0.0,18.3,1009.0,Las Vegas
218,2010-03-07,6.5,-2.8,16.7,0.0,0.0,2.9,1023.2,Atlanta
219,2010-03-21,11.4,5.0,16.7,3.0,0.0,9.0,1012.5,Bristol
220,2010-03-29,12.3,9.3,18.1,0.0,0.0,2.8,1016.5604819277108,Martinsville
221,2010-04-10,23.7,14.4,31.1,0.0,0.0,13.7,1011.0,Phoenix
222,2010-04-19,13.3,10.0,17.2,0.0,0.0,11.9,1018.6,Fort Worth
223,2010-05-01,24.2,14.4,31.7,0.0,0.0,17.6,1012.5,Richmond
224,2010-05-08,26.8,20.0,34.0,0.0,0.0,22.1,1010.6,Darlington
225,2010-05-30,23.6,17.8,30.0,0.0,0.0,5.8,1016.2,Charlotte
226,2010-06-13,20.4,17.2,23.3,0.0,0.0,5.9,1014.9,Michigan
227,2010-06-20,17.3,7.8,26.7,0.0,0.0,4.7,1015.9,Sonoma
228,2010-06-27,28.9,22.8,35.0,0.0,0.0,15.5,1011.0,Loudon
229,2010-07-03,26.2,24.4,30.0,0.0,0.0,15.5,1017.1,Daytona
230,2010-07-10,26.0,20.6,31.7,1.3,0.0,10.2,1014.5,Chicago
231,2010-07-25,26.7,22.8,31.7,8.9,0.0,12.6,1015.0,Indianapolis
